Sequence name:,dry_run_2024-04-08 10-41-20-04-00
Description:,
Acquisition date:,2024-04-08 10:41:20-04:00
Acquired by:,SYSTEM (SYSTEM)
Data path:,C:\CDSProjects\HYPERION\Results\dry runs\dry_run_2024-04-08 10-41-20-04-00.rslt
Approved by:,
Signature:,
Date:,

Sequence Table:,Bracketing Mode:,None
Seq. Line:,1
Location:,Sample name:,sweep_hydrogen,
Sample info:,"Dry run 03-04-2024 500C, 50psi upstream, 20sccm flow Hopefully doing the whole experiment now, starting with baking and ending with baking."
Acq. Method:,calibration_method_iter7.amx,Data file:,sweep_hydrogen001-2024-04-08 10-41-27-04-00-r001.dx
Injection #:,1 of 600,Inj. volume:,0.000 
Proc. Method:,*calibration_iter3.pmx,Sample amount:,0.000
Sample type:,Sample,Dilution:,1
Calibration level:,,Multiplier:,1

Seq. Line:,1
Location:,Sample name:,sweep_hydrogen,
Sample info:,"Dry run 03-04-2024 500C, 50psi upstream, 20sccm flow Hopefully doing the whole experiment now, starting with baking and ending with baking."
Acq. Method:,calibration_method_iter7.amx,Data file:,sweep_hydrogen001-2024-04-08 10-44-19-04-00-r002.dx
Injection #:,2 of 600,Inj. volume:,0.000 
Proc. Method:,*calibration_iter3.pmx,Sample amount:,0.000
Sample type:,Sample,Dilution:,1
Calibration level:,,Multiplier:,1

Seq. Line:,1
Location:,Sample name:,sweep_hydrogen,
Sample info:,"Dry run 03-04-2024 500C, 50psi upstream, 20sccm flow Hopefully doing the whole experiment now, starting with baking and ending with baking."
Acq. Method:,calibration_method_iter7.amx,Data file:,sweep_hydrogen001-2024-04-08 10-47-15-04-00-r003.dx
Injection #:,3 of 600,Inj. volume:,0.000 
Proc. Method:,*calibration_iter3.pmx,Sample amount:,0.000
Sample type:,Sample,Dilution:,1
Calibration level:,,Multiplier:,1

Seq. Line:,1
Location:,Sample name:,sweep_hydrogen,
Sample info:,"Dry run 03-04-2024 500C, 50psi upstream, 20sccm flow Hopefully doing the whole experiment now, starting with baking and ending with baking."
Acq. Method:,calibration_method_iter7.amx,Data file:,sweep_hydrogen001-2024-04-08 10-50-11-04-00-r004.dx
Injection #:,4 of 600,Inj. volume:,0.000 
Proc. Method:,*calibration_iter3.pmx,Sample amount:,0.000
Sample type:,Sample,Dilution:,1
Calibration level:,,Multiplier:,1

Seq. Line:,1
Location:,Sample name:,sweep_hydrogen,
Sample info:,"Dry run 03-04-2024 500C, 50psi upstream, 20sccm flow Hopefully doing the whole experiment now, starting with baking and ending with baking."
Acq. Method:,calibration_method_iter7.amx,Data file:,sweep_hydrogen001-2024-04-08 10-53-08-04-00-r005.dx
Injection #:,5 of 600,Inj. volume:,0.000 
Proc. Method:,*calibration_iter3.pmx,Sample amount:,0.000
Sample type:,Sample,Dilution:,1
Calibration level:,,Multiplier:,1

Seq. Line:,1
Location:,Sample name:,sweep_hydrogen,
Sample info:,"Dry run 03-04-2024 500C, 50psi upstream, 20sccm flow Hopefully doing the whole experiment now, starting with baking and ending with baking."
Acq. Method:,calibration_method_iter7.amx,Data file:,sweep_hydrogen001-2024-04-08 10-56-04-04-00-r006.dx
Injection #:,6 of 600,Inj. volume:,0.000 
Proc. Method:,*calibration_iter3.pmx,Sample amount:,0.000
Sample type:,Sample,Dilution:,1
Calibration level:,,Multiplier:,1

Seq. Line:,1
Location:,Sample name:,sweep_hydrogen,
Sample info:,"Dry run 03-04-2024 500C, 50psi upstream, 20sccm flow Hopefully doing the whole experiment now, starting with baking and ending with baking."
Acq. Method:,calibration_method_iter7.amx,Data file:,sweep_hydrogen001-2024-04-08 10-59-00-04-00-r007.dx
Injection #:,7 of 600,Inj. volume:,0.000 
Proc. Method:,*calibration_iter3.pmx,Sample amount:,0.000
Sample type:,Sample,Dilution:,1
Calibration level:,,Multiplier:,1

Seq. Line:,1
Location:,Sample name:,sweep_hydrogen,
Sample info:,"Dry run 03-04-2024 500C, 50psi upstream, 20sccm flow Hopefully doing the whole experiment now, starting with baking and ending with baking."
Acq. Method:,calibration_method_iter7.amx,Data file:,sweep_hydrogen001-2024-04-08 11-01-55-04-00-r008.dx
Injection #:,8 of 600,Inj. volume:,0.000 
Proc. Method:,*calibration_iter3.pmx,Sample amount:,0.000
